wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
740,10.4,10.3357142857143,13.2742857142857,13.8585714285714,10.2514285714286,11.78,7.67285714285714,10.9714285714286,7.48,10.0357142857143,7.52,8.69142857142857,22.5814285714286,20.4314285714286,15.4985714285714,5.91428571428571,14.2228571428571,10.2814285714286,2016-05-03
750,10.92625,10.67625,13.6875,14.24875,10.60125,12.10375,7.9675,11.27375,7.775,10.36625,7.70875,8.98,23.5025,21.25,16.14125,6.09375,14.80125,10.855,2016-05-03
760,11.2,10.89375,13.9575,14.60875,10.81125,12.42875,8.07375,11.4225,7.91375,10.495,7.8,9.085,24.07875,21.81125,16.62375,6.22625,15.28875,11.13375,2016-05-03
770,11.4457142857143,11.0585714285714,14.1328571428571,14.7471428571429,10.9642857142857,12.6171428571429,8.31142857142857,11.5914285714286,8.09285714285714,10.72,7.92571428571429,9.27571428571429,24.5085714285714,22.07,16.8271428571429,6.31857142857143,15.5185714285714,11.3928571428571,2016-05-03
780,11.6025,11.18125,14.2475,14.9,11.07,12.77,8.43625,11.7125,8.225,10.8225,8,9.38375,24.76125,22.2875,17.01125,6.39375,15.73375,11.5525,2016-05-03
790,11.735,11.29625,14.355,15.0675,11.1575,12.93,8.53625,11.81875,8.33,10.90875,8.06375,9.46375,25.01125,22.5075,17.20375,6.4725,15.975,11.6875,2016-05-03
800,11.8725,11.41375,14.46,15.2175,11.24125,13.09,8.65,11.925,8.43875,11.0125,8.13125,9.55625,25.28125,22.72,17.38375,6.54625,16.20125,11.8225,2016-05-03
810,11.95375,11.4925,14.4925,15.36125,11.27375,13.1675,8.7,12.00625,8.51625,11.035,8.16125,9.60375,25.41625,22.8875,17.5525,6.61,16.3925,11.92,2016-05-03
820,12.06875,11.58875,14.61125,15.4825,11.3325,13.3425,8.78625,12.06625,8.56625,11.12,8.20375,9.65625,25.70625,23.0825,17.73875,6.68625,16.63125,12.03125,2016-05-03
830,12.21125,11.67375,14.70125,15.5925,11.415,13.48875,8.88875,12.125,8.64875,11.22,8.24375,9.72375,26.0025,23.27,17.88,6.735,16.78625,12.16,2016-05-03
840,12.36,11.7525,14.7875,15.6775,11.49625,13.59875,9.015,12.19,8.75125,11.325,8.29125,9.80625,26.305,23.45375,18.01375,6.79,16.91,12.30125,2016-05-03
850,12.475,11.83,14.8575,15.77875,11.55625,13.7125,9.0925,12.24,8.8275,11.39375,8.3225,9.86375,26.5625,23.635,18.155,6.84125,17.03875,12.41125,2016-05-03
860,12.58375,11.89,14.91875,15.8725,11.6025,13.81125,9.16625,12.2775,8.8925,11.45375,8.345,9.91125,26.80125,23.795,18.28625,6.885,17.17,12.5175,2016-05-03
870,12.68,11.9511111111111,14.9822222222222,15.97,11.6333333333333,13.9188888888889,9.23666666666667,12.3188888888889,8.94222222222222,11.5077777777778,8.36777777777778,9.95111111111111,27.0344444444444,23.9588888888889,18.4277777777778,6.93333333333333,17.33,12.6122222222222,2016-05-03
880,12.765,12.00875,15.03125,16.07125,11.66875,14.0125,9.30125,12.3525,8.99125,11.53875,8.38375,9.9775,27.215,24.09375,18.5575,6.9825,17.48,12.69875,2016-05-03
890,12.78625,12.0325,14.985,16.1475,11.64875,13.985,9.3125,12.3825,9.0225,11.505,8.375,9.9775,27.2125,24.13,18.64875,7.02125,17.57,12.73875,2016-05-03
